filename,brand,doc_type,trade,agent_text_chunks,agent_visual_assets,ingest_status
Abodo Wood - TDS-69-Vulcan-Shingles-Roof-Dec-23,Abodo Wood,Technical_Data_Sheet,cladding,7,0,Text Only
Abodo Wood - TDS-70-Vulcan-Shingles-Wall-Dec-23,Abodo Wood,Technical_Data_Sheet,cladding,6,0,Text Only
Abodo Wood - TG17-84x17-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - TG9-135x10-Profile-Drawing-Abodo-Wood-Jan-18,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - TG9-175x10-Profile-Drawing-Abodo-Wood-Jan-18,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - Technical-Data-Sheet-30-Sand-Decking-Abodo-Wood-Sept-22,Abodo Wood,Technical_Data_Sheet,decking,3,0,Text Only
Abodo Wood - Technical-Data-Sheet-47-Protector-Abodo-Wood,Abodo Wood,Technical_Data_Sheet,cladding,3,0,Text Only
Abodo Wood - Technical-Data-Sheet-66-Vulcan-Nexus-Cladding-Abodo-Wood,Abodo Wood,Technical_Data_Sheet,cladding,1,0,Text Only
Abodo Wood - Technical-Data-Sheet-68-Protector-Hybrid-Abodo-Wood-May-23,Abodo Wood,Technical_Data_Sheet,cladding,3,0,Text Only
Abodo Wood - Technical-Data-Sheet-Char-Oil-Abodo-Wood,Abodo Wood,Technical_Data_Sheet,cladding,1,0,Text Only
Abodo Wood - Technical-Data-Sheet-Cladding-Screw-Abodo-Wood,Abodo Wood,Technical_Data_Sheet,fasteners,4,0,Text Only
Abodo Wood - Technical-Data-Sheet-Decking-Screw-Abodo-Wood,Abodo Wood,Technical_Data_Sheet,decking,2,0,Text Only
Abodo Wood - Technical-Data-Sheet-Iron-Vitriol,Abodo Wood,Technical_Data_Sheet,cladding,1,0,Text Only
Abodo Wood - Technical-Data-Sheet-Protector-End-Seal-Abodo-Wood,Abodo Wood,Technical_Data_Sheet,cladding,1,0,Text Only
Abodo Wood - Technical-Data-Sheet-Rejuvenator-Abodo-Wood,Abodo Wood,Technical_Data_Sheet,cladding,2,0,Text Only
Abodo Wood - Technical-Data-Sheet-Rhombus-Clip-Abodo-Wood,Abodo Wood,Technical_Data_Sheet,cladding,8,0,Text Only
Abodo Wood - Technical-Data-Sheet-Vulcan-Cladding-Abodo-Wood-New-Zealand,Abodo Wood,Technical_Data_Sheet,cladding,6,0,Text Only
Abodo Wood - Technical-Data-Sheet-Vulcan-Cladding-Vertical-Grain-Standard-Series-NZ,Abodo Wood,Technical_Data_Sheet,cladding,5,0,Text Only
Abodo Wood - Technical-Data-Sheet-Vulcan-Decking-Abodo-Wood,Abodo Wood,Technical_Data_Sheet,decking,4,0,Text Only
Abodo Wood - Technical-Data-Sheet-Vulcan-Panelling-Abodo-Wood,Abodo Wood,Technical_Data_Sheet,interior_linings,1,0,Text Only
Abodo Wood - Technical-Data-Sheet-Vulcan-Screening-Abodo-Wood-New-Zealand,Abodo Wood,Technical_Data_Sheet,screening,4,0,Text Only
Abodo Wood - Technical-Data-Sheet-Vulcan-Smooth-Decking-Abodo-Wood,Abodo Wood,Technical_Data_Sheet,decking,1,0,Text Only
Abodo Wood - Thermally-Modified-Timber-Fact-Sheet-Abodo-Wood,Abodo Wood,Product_Catalog,cladding,3,0,Text Only
Abodo Wood - Vulcan-25-Year-Warranty,Abodo Wood,Certification,cladding,2,0,Text Only
Abodo Wood - Vulcan-Cladding-A4-Colour-Chart-NZ-Abodo,Abodo Wood,Color_Chart,cladding,1,0,Text Only
Abodo Wood - Vulcan-Screening-Design-Guide-Abodo-Wood,Abodo Wood,Installation_Guide,screening,6,0,Text Only
Abodo Wood - WB10-138x20-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - WB10-180x20mm-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - WB12-138x20-Profile-Drawing-Abodo-Wood-Apr-18,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - WB12-180x18mm-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,2,0,Text Only
Abodo Wood - WB12-90x18-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,2,0,Text Only
Abodo Wood - WB12-90x40mm-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - WB12-90x60mm-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - WB12-Combination-Options-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Abodo Wood - WB12F-180x18-Profile-Drawing-Abodo-Wood-Sept-20,Abodo Wood,CAD_Detail,cladding,2,0,Text Only
Abodo Wood - WB18-135x18-Profile-Drawing-Abodo-Wood,Abodo Wood,CAD_Detail,cladding,1,0,Text Only
Ardex-Waterproofing-Manual,NZ Building Code,Compliance_Document,technical_manual,42,0,Text Only
Asona Deep Dive - AC-016-V2-Split-Rail-Profile.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - AC-020-V3-Donn-Standard-Grid-Components.pdf,Asona,Technical_Manual,ceiling_grid,1,0,Text Only
Asona Deep Dive - Asona-Gypclean.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - Asona-MetaPan-UL-series.pdf,Asona,Technical_Manual,metal_ceiling,1,0,Text Only
Asona Deep Dive - Asona-Polyfon-Mesh.pdf,Asona,Technical_Manual,acoustic_panel,1,0,Text Only
Asona Deep Dive - Asona-Pyramid-3D-v2.pdf,Asona,Technical_Manual,acoustic_panel,1,0,Text Only
Asona Deep Dive - Asona-Renew.pdf,Asona,Technical_Manual,acoustic_ceiling,1,0,Text Only
Asona Deep Dive - Asona-Sonacoustic-v5.pdf,Asona,Technical_Manual,acoustic_panel,1,0,Text Only
Asona Deep Dive - Asona-Sonaris-Perforated-Laminates-v4.pdf,Asona,Technical_Manual,perforated_panel,1,0,Text Only
Asona Deep Dive - Asona-Sonaspray-v2.pdf,Asona,Technical_Manual,acoustic_spray,1,0,Text Only
Asona Deep Dive - Asona-Sonawood-Ceiling Tile-v3.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - Asona-Sonawood-Panel-v8.pdf,Asona,Technical_Manual,acoustic_wall,3,0,Text Only
Asona Deep Dive - Asona-Tecsound-FT.pdf,Asona,Technical_Manual,acoustic_underlay,2,0,Text Only
Asona Deep Dive - Asona-Tecsound-SY.pdf,Asona,Technical_Manual,acoustic_underlay,2,0,Text Only
Asona Deep Dive - Asona-Tecsound-Tube-S.pdf,Asona,Technical_Manual,acoustic_underlay,2,0,Text Only
Asona Deep Dive - Asona-Triton-100-v3.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - Asona-Triton-15-v3.pdf,Asona,Technical_Manual,acoustic_ceiling,3,0,Text Only
Asona Deep Dive - Asona-Triton-25W-v5.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - Asona-Triton-30HD-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,3,0,Text Only
Asona Deep Dive - Asona-Triton-4-v3.pdf,Asona,Technical_Manual,acoustic_ceiling,3,0,Text Only
Asona Deep Dive - Asona-Triton-50HD-v3.pdf,Asona,Technical_Manual,acoustic_ceiling,4,0,Text Only
Asona Deep Dive - Asona-Triton-75-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,3,0,Text Only
Asona Deep Dive - Asona-Triton-Avant-15-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,2,0,Text Only
Asona Deep Dive - Asona-Triton-Baffle-Beam-v2.pdf,Asona,Technical_Manual,acoustic_baffle,5,0,Text Only
Asona Deep Dive - Asona-Triton-Cloud-Hygiene-v2.pdf,Asona,Technical_Manual,acoustic_cloud,7,0,Text Only
Asona Deep Dive - Asona-Triton-Defender-50-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,6,0,Text Only
Asona Deep Dive - Asona-Triton-Duo-35-v2.pdf,Asona,Technical_Manual,acoustic_ceiling,3,0,Text Only
Asona Deep Dive - Asona-Triton-Duo-60-v7.pdf,Asona,Technical_Manual,acoustic_ceiling,5,0,Text Only
Asona Deep Dive - Asona-Triton-Fabwall-Bass-v3.pdf,Asona,Technical_Manual,acoustic_ceiling,5,0,Text Only
