doc_id,action,before_section,before_clause,after_section,after_clause,reason,logged_at
e1232253-5c26-438e-84c7-7ef023baba31,CLEAR_CLAUSE,Flashing,,Flashing,,metal_roofing_clause,2025-10-05 08:09:16.585278
4d796575-81e7-4d35-a584-0f3a7134fc95,CLEAR_CLAUSE,ASTM D2240,D2240,ASTM D2240,,metal_roofing_clause,2025-10-05 08:09:16.585278
0fb0061f-1f09-4664-ba5d-9be24fe661cd,CLEAR_CLAUSE,Rivets,,Rivets,,metal_roofing_clause,2025-10-05 08:09:16.585278
944ef892-f3d2-4f5a-baea-99dd7a3a33ee,CLEAR_CLAUSE,,D0,,,metal_roofing_clause,2025-10-05 08:09:16.585278
02971adc-8358-4740-95b4-e1e17a76ad97,CLEAR_CLAUSE,pound force foot,,pound force foot,,metal_roofing_clause,2025-10-05 08:09:16.585278
ea5f8cb2-cb66-4f0f-875a-cdc38f0fe638,CLEAR_CLAUSE,2019 – December,E1,2019 – December,,metal_roofing_clause,2025-10-05 08:09:16.585278
f44853cc-a68f-480e-9fb8-89cf400d2f75,CLEAR_CLAUSE,Modes Of Fastener Failure,,Modes Of Fastener Failure,,metal_roofing_clause,2025-10-05 08:09:16.585278
f84f832a-d2a1-4e4c-a9b2-48de588891cf,CLEAR_CLAUSE,and at the lower edge of penetrations,,and at the lower edge of penetrations,,metal_roofing_clause,2025-10-05 08:09:16.585278
adb20741-de65-4a9c-b2bd-355493ee850f,CLEAR_CLAUSE,,,,,metal_roofing_clause,2025-10-05 08:09:16.585278
9d13b244-de45-441a-8cb1-2b5f45370b7a,CLEAR_CLAUSE,USEFUL INFORMATION,,USEFUL INFORMATION,,metal_roofing_clause,2025-10-05 08:09:16.585278
3bb65c18-d5f7-4770-8b79-08f2a161247b,CLEAR_CLAUSE,Profile Closures,,Profile Closures,,metal_roofing_clause,2025-10-05 08:09:16.585278
522c9fe7-f8b0-481e-ad4e-027f5be01aff,CLEAR_CLAUSE,Sealants,,Sealants,,metal_roofing_clause,2025-10-05 08:09:16.585278
42a7b2b6-fecd-4c38-8c94-7a6cee9ba70b,CLEAR_CLAUSE,4 - Clause,,4 - Clause,,metal_roofing_clause,2025-10-05 08:09:16.585278
6a1c8e32-b84a-4e22-86aa-e58a5401368d,CLEAR_CLAUSE,EXTERNAL MOISTURE FLASHINGS,,EXTERNAL MOISTURE FLASHINGS,,metal_roofing_clause,2025-10-05 08:09:16.585278
b74f7369-dbef-4885-8673-4dadd2bbf4d9,CLEAR_CLAUSE,EXTERNAL MOISTURE FLASHINGS,,EXTERNAL MOISTURE FLASHINGS,,metal_roofing_clause,2025-10-05 08:09:16.585278
d6d7d623-d4b5-47ba-a0a9-9554723cc91b,CLEAR_CLAUSE,EXTERNAL MOISTURE FLASHINGS,,EXTERNAL MOISTURE FLASHINGS,,metal_roofing_clause,2025-10-05 08:09:16.585278
9d8dcbef-d166-4ce3-a989-5636867d9b76,CLEAR_CLAUSE,,A2,,,metal_roofing_clause,2025-10-05 08:09:16.585278
10095a3a-2dd6-4cf1-bdb7-dd3e63f530c2,CLEAR_CLAUSE,FITNESS FOR PURPOSE,B2,FITNESS FOR PURPOSE,,metal_roofing_clause,2025-10-05 08:09:16.585278
c625129e-c538-466e-84d9-d6dea57e10f3,CLEAR_CLAUSE,3 - Substantial,,3 - Substantial,,metal_roofing_clause,2025-10-05 08:09:16.585278
008951b6-ba21-4bab-b5c3-22cff3af6657,CLEAR_CLAUSE,Eaves Flashing,,Eaves Flashing,,metal_roofing_clause,2025-10-05 08:09:16.585278
20688f7d-8387-4724-8872-72a47c70e535,CLEAR_CLAUSE,registered trademark owned by Stanley,,registered trademark owned by Stanley,,metal_roofing_clause,2025-10-05 08:09:16.585278
2a5f3894-1112-4835-897c-eee7306eab83,CLEAR_CLAUSE,Soldering,,Soldering,,metal_roofing_clause,2025-10-05 08:09:16.585278
68355415-3aee-4db2-9e97-c736bea790b5,CLEAR_CLAUSE,Soft edging and Flashing,,Soft edging and Flashing,,metal_roofing_clause,2025-10-05 08:09:16.585278
7d2d47cd-90a6-4d37-badd-0fe6cd29bfad,CLEAR_CLAUSE,EXTERNAL MOISTURE PENETRATIONS,,EXTERNAL MOISTURE PENETRATIONS,,metal_roofing_clause,2025-10-05 08:09:16.585278
88bdbae8-41dd-4c5a-a709-0e5d7b591a8b,CLEAR_CLAUSE,2 - Editing and,,2 - Editing and,,metal_roofing_clause,2025-10-05 08:09:16.585278
