agent_zone,category,brand,filename,file_size_mb,ingest_status,text_chunks,visual_assets,db_source,storage_path
Product Rep,C_Interiors,Autex,Material Safety Datasheet.pdf,0.05,Ingested,21,0,Autex Deep Dive - Material Safety Datasheet.pdf,C_Interiors/Autex/09_Cube_Acoustic_Panel/Material Safety Datasheet.pdf
Product Rep,C_Interiors,Autex,Material Safety Datasheet.pdf,0.05,Ingested,21,0,Autex Deep Dive - Material Safety Datasheet.pdf,C_Interiors/Autex/11_Frontier/Material Safety Datasheet.pdf
Product Rep,C_Interiors,Autex,Material Safety Datasheet.pdf,0.05,Ingested,21,0,Autex Deep Dive - Material Safety Datasheet.pdf,C_Interiors/Autex/14_Groove_Panel/Material Safety Datasheet.pdf
Product Rep,C_Interiors,Autex,Material Safety Datasheet.pdf,0.05,Ingested,21,0,Autex Deep Dive - Material Safety Datasheet.pdf,C_Interiors/Autex/15_Horizon/Material Safety Datasheet.pdf
Product Rep,C_Interiors,Autex,Material Safety Datasheet.pdf,0.05,Ingested,21,0,Autex Deep Dive - Material Safety Datasheet.pdf,C_Interiors/Autex/17_Lattice/Material Safety Datasheet.pdf
Product Rep,C_Interiors,Autex,Material Safety Datasheet.pdf,0.05,Ingested,21,0,Autex Deep Dive - Material Safety Datasheet.pdf,C_Interiors/Autex/19_Quietspace_Panel/Material Safety Datasheet.pdf
Product Rep,C_Interiors,Autex,Material Safety Datasheet.pdf,0.05,Ingested,21,0,Autex Deep Dive - Material Safety Datasheet.pdf,C_Interiors/Autex/21_Vertiface/Material Safety Datasheet.pdf
Product Rep,C_Interiors,Autex,Mirage Data Sheet.pdf,0.17,Ingested,24,0,Autex Deep Dive - Mirage Data Sheet.pdf,C_Interiors/Autex/18_Mirage_Textured_Panel/Mirage Data Sheet.pdf
Product Rep,C_Interiors,Autex,Mirage Install Instructions NZ UK.pdf,0.2,Ingested,57,0,Autex Deep Dive - Mirage Install Instructions NZ UK.pdf,C_Interiors/Autex/18_Mirage_Textured_Panel/Mirage Install Instructions NZ UK.pdf
Product Rep,C_Interiors,Autex,Mirage Lookbook NZ UK.pdf,8.44,Ingested,39,0,Autex Deep Dive - Mirage Lookbook NZ UK.pdf,C_Interiors/Autex/18_Mirage_Textured_Panel/Mirage Lookbook NZ UK.pdf
