filename,brand,category,doc_type,trade,agent_text_chunks,agent_visual_assets,ingest_status,agent_zone
Abodo Wood - Comparative-Biomass-Growth-and-Carbon-Sequestration-Report-Abodo-Wood,Abodo Wood,Other,Technical_Manual,cladding,11,0,Text Only,Product Rep
Abodo Wood - DK14S-90x21-Profile-Drawing-Abodo-Wood,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - DK16V-142x27mm-Profile-Drawing-Abodo-Wood,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - DK4R-140x27-Profile-Drawing-Abodo-Wood,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - FSC-Certificate-SGS-COC-004944,Abodo Wood,Other,Certification,cladding,2,0,Text Only,Product Rep
Abodo Wood - Group-Number-Classification-Certificate-Fire-Rating-Abodo-Wood,Abodo Wood,Other,Certification,cladding,4,0,Text Only,Product Rep
Abodo Wood - How-Vulcan-Timber-Weathers-Abodo-Wood,Abodo Wood,Other,Color_Chart,cladding,2,0,Text Only,Product Rep
Abodo Wood - Look-Book-Vulcan-Feature-Timber-Projects,Abodo Wood,Other,Product_Catalog,cladding,7,0,Text Only,Product Rep
Abodo Wood - M116317-Abodo-Profile-Drawing-Download-Vulcan-Shingles-450x120,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - M116317-Abodo-Profile-Drawing-Download-Vulcan-Shingles-450x90,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - Maintenance-Guidelines-Timber-Cladding-Screening-NZ-Abodo-Wood,Abodo Wood,Other,Installation_Guide,screening,6,0,Text Only,Product Rep
Abodo Wood - Maintenance-Guidelines-Vulcan-Sand-Decking-Abodo-Wood,Abodo Wood,Other,Installation_Guide,decking,6,0,Text Only,Product Rep
Abodo Wood - OPX-Treatment-Guide-Abodo-Wood-Feb-2023,Abodo Wood,Other,Installation_Guide,cladding,8,0,Text Only,Product Rep
Abodo Wood - Performance-Testing-Guide-for-Vulcan-Timber-Abodo-Wood,Abodo Wood,Other,Installation_Guide,cladding,36,0,Text Only,Product Rep
Abodo Wood - Resene-Paint-Complementary-Colour-Suggestions,Abodo Wood,Other,Color_Chart,cladding,9,0,Text Only,Product Rep
Abodo Wood - Rhombus-Batten-Clip-RHBC2-with-clip-90x26-Abodo-Wood,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
Abodo Wood - Rhombus-Clip-RHBC2-with-clip-68x26-Abodo-Wood,Abodo Wood,Other,CAD_Detail,cladding,1,0,Text Only,Product Rep
