agent_zone,category,brand,filename,file_size_mb,ingest_status,text_chunks,visual_assets,db_source,storage_path
Product Rep,A_Structure,Abodo Wood,Abodo-Wood-Declare-Certification.pdf,0.6,Not Ingested,0,0,,A_Structure/Abodo_Wood/Certificates_Warranties/Abodo-Wood-Declare-Certification.pdf
Product Rep,A_Structure,Abodo Wood,Abodo-Wood-Environmental-Product-Declaration.pdf,2.28,Ingested,80,0,Abodo Wood - Abodo-Wood-Environmental-Product-Declaration,A_Structure/Abodo_Wood/Environmental_Product_Declaration/Abodo-Wood-Environmental-Product-Declaration.pdf
Product Rep,A_Structure,Abodo Wood,Appearance-Grades-Timber-Grading-Rules-Abodo-Wood.pdf,0.95,Ingested,9,0,Abodo Wood - Appearance-Grades-Timber-Grading-Rules-Abodo-Wood,A_Structure/Abodo_Wood/Guides_Manuals/Appearance-Grades-Timber-Grading-Rules-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,BAND4S-138x18-Profile-Drawing-Abodo-Wood.pdf,0.43,Ingested,1,0,Abodo Wood - BAND4S-138x18-Profile-Drawing-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/BAND4S-138x18-Profile-Drawing-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,BAND4S-180x18-Profile-Drawing-Abodo-Wood.pdf,0.43,Ingested,1,0,Abodo Wood - BAND4S-180x18-Profile-Drawing-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/BAND4S-180x18-Profile-Drawing-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,BAND4S-42x42-Profile-Drawing-Abodo-Wood.pdf,0.43,Ingested,1,0,Abodo Wood - BAND4S-42x42-Profile-Drawing-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/BAND4S-42x42-Profile-Drawing-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,BAND4S-65x18-Profile-Drawing-Abodo-Wood.pdf,0.43,Ingested,1,0,Abodo Wood - BAND4S-65x18-Profile-Drawing-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/BAND4S-65x18-Profile-Drawing-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,BAND4S-88x18-Profile-Drawing-Abodo-Wood.pdf,0.43,Ingested,1,0,Abodo Wood - BAND4S-88x18-Profile-Drawing-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/BAND4S-88x18-Profile-Drawing-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Built-to-Last-Warranty-30yrs-ACQ-Abodo-Wood.pdf,0.06,Ingested,4,0,Abodo Wood - Built-to-Last-Warranty-30yrs-ACQ-Abodo-Wood,A_Structure/Abodo_Wood/Certificates_Warranties/Built-to-Last-Warranty-30yrs-ACQ-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Comparative-Biomass-Growth-and-Carbon-Sequestration-Report-Abodo-Wood.pdf,0.29,Ingested,11,0,Abodo Wood - Comparative-Biomass-Growth-and-Carbon-Sequestration-Report-Abodo-Wood,A_Structure/Abodo_Wood/Reports/Comparative-Biomass-Growth-and-Carbon-Sequestration-Report-Abodo-Wood.pdf
