brand,product,doc_type,codemark_id,branz_number,expiry_date,is_expired,status,bpir_status,scope_limitations
B_Enclosure,CLAD Solutions - Shera Shiplap Vertical - BRANZ Appraisal v2,Unknown,,1253,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,CLAD Solutions - Shera Shiplap Vertical - Technical Manual,Unknown,batten,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,the specific Shera Shiplap Weatherboard products supplied by CLAD Solutions Ltd.
B_Enclosure,CLAD Solutions - Shera Weatherboard - BRANZ Appraisal,Unknown,suitable,1251,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,Claymark A-Lign - Bevelback - Specifications V7,Unknown,,537,,UNKNOWN,CONDITIONAL,UNDECLARED,to the fullest extent permitted by law.
B_Enclosure,Claymark A-Lign - Bevelback - Technical Manual V8,Unknown,,537,,UNKNOWN,CONDITIONAL,UNDECLARED,to the fullest extent permitted by law.
B_Enclosure,Claymark A-Lign - Rusticated - Specifications V7,Unknown,,638,,UNKNOWN,CONDITIONAL,UNDECLARED,to the fullest extent permitted by law.
B_Enclosure,Claymark A-Lign - Rusticated - Technical Manual V8,Unknown,,638,,UNKNOWN,CONDITIONAL,UNDECLARED,to the fullest extent permitted by law.
B_Enclosure,Claymark A-Lign - Vertical Shiplap - Technical Manual V2,Unknown,,929,,UNKNOWN,CONDITIONAL,UNDECLARED,to the fullest extent permitted by law.
B_Enclosure,Concrete NZ - NZ Concrete Masonry Manual,Unknown,,4229,,UNKNOWN,CONDITIONAL,UNDECLARED,D10 in 10 series walls.
B_Enclosure,Dimond Roofing - Box 175 - V1-The-Installers-Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Brownbuilt 900 (BB900) - Product Technical ,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - Brownbuilt 900 (BB900) - The Installers Gui,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Corrugate - Product Technical Statement,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - Corrugate - The Installers Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - DP955 - V1 - PRODUCT TECHNCIAL STATEMENT - ,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - DP955 - V1 - The Installers Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Deep Quad - V1 - The Installers Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Dimondclad Interlock - V1-PRODUCT-TECHNICAL,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,for spring curving applications.
B_Enclosure,Dimond Roofing - Dimondclad Rib 20 - V1 - The Installers Gui,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Dimondclad Rib 50 - V1 - The Installers Gui,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Dimondek 400 - V1 - PRODUCT TECHNCIAL STATE,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - Dimondek 400 - V1 - The Installers Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Dimondek 630 - V1 - PRODUCT TECHNCIAL STATE,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - Dimondek 630 - V1 - The Installers Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Eurotray Angle Seam - V1 - The Installers G,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Eurotray Roll Cap - V1 - The Installers Gui,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Heritage Tray - V1 - PRODUCT TECHNCIAL STAT,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - Heritage Tray - V1 - The Installers Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Hi Five - V1 - PRODUCT TECHNCIAL STATEMENT ,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - Hi Five - V1 - The Installers Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - LT7 - V1 - PRODUCT TECHNICAL STATEMENT - DI,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - LT7 - V1 - The Installers Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Six Rib - V1 - PRODUCT TECHNCIAL STATEMENT ,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - Six Rib - V1 - The Installers Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Solar-Rib - V1 - PRODUCT TECHNCIAL STATEMEN,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - Solar-Rib - V1 - The Installers Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - Styleline - V1 - PRODUCT TECHNCIAL STATEMEN,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - Styleline - V1 - The Installers Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - V-Rib - Dimond Roofing - The Installers Gui,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
B_Enclosure,Dimond Roofing - V-Rib - V2 - PRODUCT TECHNCIAL STATEMENT - ,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - Veedek - V1 - PRODUCT TECHNCIAL STATEMENT -,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,"ensure 
satisfactory appearance for wall cladding."
B_Enclosure,Dimond Roofing - Veedek - V1 - The Installers Guide,Unknown,,0800,,UNKNOWN,CONDITIONAL,UNDECLARED,"for spring curving applications
•	
Maximum standard length: 9."
